country,med_age_all,med_age_male,med_age_female,ed_index_2015,mean_years_school_2015,hdi_rank,continent,gdp_growth_1990_2015,gni_ppp_cap_usd,inequality,pop_growth_2015_20,per_urban,population
Malaysia,28.5,28.2,28.8,0.7,10.1,59,Asia,7.8,30600,41,1.35,76,31949777
Maldives,28.2,28.1,28.3,0.561,6.2,105,Asia,12.1,14120,36.8,1.85,39.8,530953
Mali,15.8,15.1,16.4,0.312,2.3,175,Africa,5.8,2230,33,2.99,42.4,19658031
Malta,41.8,40.8,43,0.781,11.3,33,Europe,5.9,37700,27.9,0.31,94.6,440372
Marshall Islands,22.9,22.8,23,NA,NA,NA,NA,NA,5290,NA,0.1,77,58791
Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375554
Mauritania,20.5,19.5,21.4,0.377,4.3,157,Africa,5.7,420,32.4,2.69,53.7,4525696
Mauritius,35.3,34.2,36.3,0.725,9.1,64,Africa,6,26030,35.8,0.23,40.8,1198575
Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266150
Mexico,28.3,27.2,29.4,0.655,8.6,77,North America,5.7,19440,43.4,1.23,80.2,127575529
Micronesia,NA,NA,NA,0.649,9.7,127,Oceania,NA,4160,40.1,0.63,NA,NA
Moldova,36.7,34.9,38.6,0.725,11.9,107,Europe,2.6,7680,26.3,-0.24,42.6,4043263
Monaco,53.1,51.7,54.5,NA,NA,NA,NA,NA,NA,NA,0.51,100,38964
Mongolia,28.3,27.5,29.2,0.737,9.8,92,Asia,5.4,12220,32.3,1.5,68.4,3225167
Montenegro,40.7,39.9,41.8,0.797,11.3,48,Europe,2.6,19750,31.9,0.04,66.8,627987
Montserrat,33.2,32.6,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4989
Morocco,29.3,28.6,29.9,0.503,5,123,Africa,5,8410,40.7,1.26,62.5,36471769
Mozambique,17.2,16.6,17.8,0.369,3.5,181,Africa,5.2,1300,45.6,2.86,36,30366036
Myanmar,NA,NA,NA,0.41,4.7,145,Asia,10.3,6480,38.1,NA,30.6,54045420
Namibia,21.2,20.4,21.9,0.546,6.7,125,Africa,5.9,10920,59.1,2.12,50,2494530
Nauru,26.4,27,25.7,NA,NA,NA,NA,NA,19480,NA,-0.06,100,10756
Nepal,24.1,22.8,25.3,0.475,4.1,144,Asia,7.1,3090,32.8,1.09,19.7,28608710
Netherlands,42.6,41.5,43.6,0.897,11.9,7,Europe,3.5,57380,28.6,0.29,91.5,17097130
New Caledonia,32,31.3,32.7,NA,NA,NA,NA,NA,NA,NA,NA,70.7,282750
New Zealand,37.9,37.1,38.8,0.917,12.5,13,Oceania,5.5,40250,36.2,0.93,86.5,4783063
Nicaragua,25.7,24.8,26.6,0.542,6.5,124,North America,13.6,5390,46.6,1.07,58.5,6545502
Niger,15.4,15.3,15.5,0.206,1.7,187,Africa,4.4,1030,34,3.81,16.4,23310715
Nigeria,18.4,18.3,18.5,0.477,6,152,Africa,8.6,5700,43,2.58,50.3,200963599
Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,1615
North Korea,34,32.5,35.6,NA,NA,NA,NA,NA,NA,NA,0.47,61.9,25666161
North Macedonia,37.9,36.8,39,NA,NA,NA,NA,3.5,14690,35.6,0.08,58,2083459
Northern Mariana Islands,33.6,32.8,34.4,NA,NA,NA,NA,NA,NA,NA,NA,91.6,56188
Norway,39.2,38.4,40,0.916,12.7,1,Europe,4.8,66390,26.8,0.94,82.2,5378857
Oman,25.6,26.6,24.2,0.652,8.1,52,Asia,7.4,41230,NA,4.08,84.5,4974986
Pakistan,23.8,23.7,23.8,0.55,10.1,147,Asia,6.8,5840,30.7,1.91,36.7,216565318
Palau,33.4,32.7,35,0.808,12.3,60,Oceania,5.5,18820,NA,1.06,79.9,18008
Palestine,NA,NA,NA,0.655,8.9,114,Asia,NA,5990,35.5,NA,76.2,4981420
Panama,29.2,28.8,29.6,0.691,9.9,60,North America,9.5,23510,50.4,1.55,67.7,4246439
Papua New Guinea,23.1,23.2,23.1,0.419,4.3,154,Oceania,6,4150,43.9,2.01,13.2,8776109
Paraguay,28.2,28,28.5,0.613,8.1,110,South America,8.3,13180,47.9,1.25,61.6,7044636
Peru,28,27.2,28.8,0.672,9,87,South America,7.9,13810,43.8,1.2,77.9,32510453
Philippines,23.5,23.1,24,0.637,9.3,116,Asia,7.4,10720,40.1,1.51,46.9,108116615
Poland,40.7,39,42.4,0.852,11.9,36,Europe,8.5,31110,32.1,-0.17,60.1,37887768
Portugal,42.2,40.2,44.4,0.756,8.9,41,Europe,3.8,33200,35.6,-0.39,65.2,10226187
Puerto Rico,41.5,39.5,43.2,NA,NA,NA,NA,NA,26560,NA,NA,93.6,2933408
Qatar,33.2,34.3,28.1,0.698,9.8,33,Asia,13.2,124130,41.1,2.36,99.1,2832067
Republic of the Congo,19.7,19.5,19.8,NA,NA,NA,NA,4.6,5050,NA,NA,NA,NA
Réunion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888927
Romania,41.1,39.7,42.6,0.769,10.8,50,Europe,6.3,25940,27.5,-0.5,54,19364557
Russia,39.6,36.6,42.5,NA,NA,NA,NA,3.6,26470,37.7,-0.01,74.4,145872256
Russian Federation,NA,NA,NA,0.816,12,49,Europe,NA,NA,NA,NA,NA,NA
Rwanda,19,18.3,19.8,0.426,3.8,159,Africa,4.9,2210,50.4,2.36,17.2,12626950
Saint Barthelemy,44.1,44.1,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Helena, Ascension and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,6059
"Saint Helena, Ascension, and Tristan da Cunha",41.9,42,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,35,35.2,34.8,0.659,8.4,74,North America,6.3,30120,NA,0.91,30.8,52823
